高校名称,专业,x轴,y轴,
天津大学,机械工程,2121,4.125 
天津大学,仪器、测量和测试,3120,4.070 
天津大学,计算机和控制,4124,4.254 
天津大学,半导体和电路,1063,4.384 
天津大学,电子元件,927,2.000 
天津大学,通讯,1600,2.000 
天津大学,电力工程,1940,4.640 
华中科技大学,聚合物、塑料,1025,4.196 
华中科技大学,药物,610,3.263 
华中科技大学,农药,28,2.000 
华中科技大学,食品、洗涤剂、水处理、生物技术,581,3.450 
华中科技大学,一般化学,387,4.167 
华中科技大学,纺织和造纸,71,2.000 
华中科技大学,印刷、涂料、照相,57,2.000 
华中科技大学,石油,151,3.919 
华中科技大学,化学工程,484,4.494 
华中科技大学,核子能、爆破、防护,14,2.000 
华中科技大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,674,3.907 
华中科技大学,冶金,481,4.110 
华中科技大学,催化剂,85,3.826 
华中科技大学,其他,1845,4.688 
华中科技大学,机械工程,954,2.000 
华中科技大学,仪器、测量和测试,2246,4.418 
华中科技大学,计算机和控制,3180,4.597 
华中科技大学,半导体和电路,1034,4.529 
华中科技大学,电子元件,1184,4.200 
华中科技大学,通讯,965,4.008 
华中科技大学,电力工程,2056,4.537 
吉林大学,聚合物、塑料,1782,2.000 
吉林大学,药物,1148,2.000 
吉林大学,农药,184,2.000 
吉林大学,食品、洗涤剂、水处理、生物技术,1114,2.000 
吉林大学,一般化学,641,4.763 
吉林大学,纺织和造纸,113,2.000 
吉林大学,印刷、涂料、照相,139,2.000 
吉林大学,石油,201,3.647 
吉林大学,化学工程,596,4.695 
吉林大学,核子能、爆破、防护,9,2.000 
吉林大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,542,2.000 
吉林大学,冶金,409,2.000 
吉林大学,催化剂,126,2.000 
吉林大学,其他,2414,2.000 
吉林大学,机械工程,2404,2.000 
吉林大学,仪器、测量和测试,3475,4.941 
吉林大学,计算机和控制,2678,2.000 
吉林大学,半导体和电路,593,2.000 
吉林大学,电子元件,1031,4.881 
吉林大学,通讯,1035,2.000 
吉林大学,电力工程,2141,4.632 
同济大学,聚合物、塑料,1324,4.311 
同济大学,药物,508,3.712 
同济大学,农药,73,2.000 
同济大学,食品、洗涤剂、水处理、生物技术,1034,3.846 
同济大学,一般化学,546,3.784 
同济大学,纺织和造纸,69,2.000 
同济大学,印刷、涂料、照相,84,2.000 
同济大学,石油,73,2.000 
同济大学,化学工程,416,2.000 
同济大学,核子能、爆破、防护,17,2.000 
同济大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,574,4.045 
同济大学,冶金,147,2.000 
同济大学,催化剂,104,3.538 
同济大学,其他,1113,2.000 
同济大学,机械工程,1903,4.919 
同济大学,仪器、测量和测试,1395,4.278 
同济大学,计算机和控制,1813,4.483 
同济大学,半导体和电路,192,2.000 
同济大学,电子元件,399,2.000 
同济大学,通讯,662,2.000 
同济大学,电力工程,1071,3.905 
南京大学,聚合物、塑料,734,3.977 
南京大学,药物,528,3.295 
南京大学,农药,64,3.236 
南京大学,食品、洗涤剂、水处理、生物技术,907,3.535 
南京大学,一般化学,601,4.453 
南京大学,纺织和造纸,17,2.000 
南京大学,印刷、涂料、照相,46,2.000 
南京大学,石油,49,2.000 
南京大学,化学工程,427,4.661 
南京大学,核子能、爆破、防护,3,2.000 
南京大学,耐火材料、玻璃、陶瓷、（无机）有机电化学,383,4.157 
南京大学,冶金,81,4.657 
南京大学,催化剂,134,2.000 
南京大学,其他,422,2.000 
南京大学,机械工程,178,4.730 
南京大学,仪器、测量和测试,733,4.309 
南京大学,计算机和控制,1360,5.504 
南京大学,半导体和电路,379,2.000 
南京大学,电子元件,369,4.383 
南京大学,通讯,474,4.487 
南京大学,电力工程,294,4.274 
山东大学,聚合物、塑料,1255,4.807 
山东大学,药物,900,2.000 
山东大学,农药,150,2.000 
山东大学,食品、洗涤剂、水处理、生物技术,1090,2.000 
